Voters,Options,Time
10,2,0
20,2,0
30,2,0
40,2,0
50,2,2
60,2,4
70,2,0
80,2,1
90,2,0
100,2,0
110,2,2
120,2,5
130,2,1
140,2,1
150,2,3
160,2,3
170,2,2
180,2,4
190,2,2
200,2,2
210,2,4
220,2,8
230,2,2
240,2,6
250,2,4
260,2,3
270,2,10
280,2,6
290,2,4
300,2,4
310,2,5
320,2,4
330,2,13
340,2,7
350,2,4
360,2,5
370,2,12
380,2,6
390,2,6
400,2,6
410,2,7
420,2,27
430,2,7
440,2,5
450,2,15
460,2,6
470,2,8
480,2,8
490,2,12
500,2,8
510,2,8
520,2,5
530,2,12
540,2,9
550,2,7
560,2,6
570,2,8
580,2,8
590,2,13
600,2,9
610,2,13
620,2,10
630,2,9
640,2,9
650,2,9
660,2,9
670,2,11
680,2,11
690,2,13
700,2,12
710,2,13
720,2,14
730,2,18
740,2,17
750,2,13
760,2,16
770,2,9
780,2,17
790,2,12
800,2,10
810,2,12
820,2,8
830,2,14
840,2,17
850,2,13
860,2,12
870,2,13
880,2,13
890,2,14
900,2,9
910,2,13
920,2,12
930,2,13
940,2,13
950,2,15
960,2,16
970,2,16
980,2,13
990,2,13
10,3,0
20,3,1
30,3,11
40,3,21
50,3,47
60,3,73
70,3,69
80,3,86
90,3,214
100,3,302
110,3,443
120,3,476
130,3,805
140,3,941
150,3,1133
160,3,994
170,3,660
180,3,2073
190,3,762
200,3,2638
210,3,2909
220,3,2086
230,3,3043
240,3,1403
250,3,2404
260,3,3774
270,3,6825
280,3,3436
290,3,8600
300,3,10591
310,3,3822
320,3,14009
330,3,4114
340,3,8871
350,3,16689
360,3,16930
370,3,19776
380,3,20323
390,3,22459
400,3,22567
410,3,7453
420,3,26922
430,3,8288
440,3,24045
10,4,2
20,4,14
30,4,52
40,4,70
50,4,340
60,4,234
70,4,905
80,4,479
90,4,1908
100,4,1356
110,4,3824
120,4,1887
130,4,6048
140,4,3032
150,4,8858
160,4,4125
170,4,13167
180,4,6667
190,4,17344
200,4,8284
210,4,26517
220,4,12005
230,4,30639
240,4,15740
250,4,40861
260,4,20379
270,4,52496
10,5,3
20,5,89
30,5,494
40,5,1459
50,5,4352
60,5,9109
70,5,39170
80,5,29285
90,5,76863
100,5,114247
110,5,180031
120,5,240507
130,5,420000
140,5,488857
10,6,23
20,6,345
30,6,2984
40,6,13135
50,6,80230
60,6,130406
70,6,114856
80,6,1193698
10,7,30
20,7,1218
30,7,10303
40,7,60853
50,7,782440
