nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,1,1,0.2,0.5,0.05,0.283
10,1,1,0.2,0.7,0.05,0.294
10,1,1,0.2,0.9,0.05,0.302
10,1,1,0.2,1,0.05,1
10,1,1,0.3,0.5,0.05,0.092
10,1,1,0.3,0.7,0.05,0.488
10,1,1,0.3,0.9,0.05,0.508
10,1,1,0.3,1,0.05,1
10,1,1,0.4,0.5,0.05,0.236
10,1,1,0.4,0.7,0.05,0.242
10,1,1,0.4,0.9,0.05,0.63
10,1,1,0.4,1,0.05,1
10,1,1,0.5,0.5,0.05,0.109
10,1,1,0.5,0.7,0.05,0.45
10,1,1,0.5,0.9,0.05,0.752
10,1,1,0.5,1,0.05,1
10,1,1,0.6,0.5,0.05,0.275
10,1,1,0.6,0.7,0.05,0.578
10,1,1,0.6,0.9,0.05,0.82
10,1,1,0.6,1,0.05,1
10,1,1,0.7,0.5,0.05,0.151
10,1,1,0.7,0.7,0.05,0.421
10,1,1,0.7,0.9,0.05,0.884
10,1,1,0.7,1,0.05,1
10,1,1,0.8,0.5,0.05,0.333
10,1,1,0.8,0.7,0.05,0.589
10,1,1,0.8,0.9,0.05,0.927
10,1,1,0.8,1,0.05,1
10,2,1,0.2,0.5,0.05,0.471
10,2,1,0.2,0.7,0.05,0.452
10,2,1,0.2,0.9,0.05,0.49
10,2,1,0.2,1,0.05,1
10,2,1,0.3,0.5,0.05,0.195
10,2,1,0.3,0.7,0.05,0.681
10,2,1,0.3,0.9,0.05,0.716
10,2,1,0.3,1,0.05,1
10,2,1,0.4,0.5,0.05,0.507
10,2,1,0.4,0.7,0.05,0.519
10,2,1,0.4,0.9,0.05,0.832
10,2,1,0.4,1,0.05,1
10,2,1,0.5,0.5,0.05,0.368
10,2,1,0.5,0.7,0.05,0.74
10,2,1,0.5,0.9,0.05,0.918
10,2,1,0.5,1,0.05,1
10,2,1,0.6,0.5,0.05,0.624
10,2,1,0.6,0.7,0.05,0.861
10,2,1,0.6,0.9,0.05,0.972
10,2,1,0.6,1,0.05,1
10,2,1,0.7,0.5,0.05,0.518
10,2,1,0.7,0.7,0.05,0.803
10,2,1,0.7,0.9,0.05,0.989
10,2,1,0.7,1,0.05,1
10,2,1,0.8,0.5,0.05,0.744
10,2,1,0.8,0.7,0.05,0.913
10,2,1,0.8,0.9,0.05,0.997
10,2,1,0.8,1,0.05,1
10,2,2,0.2,0.5,0.05,0.075
10,2,2,0.2,0.7,0.05,0.078
10,2,2,0.2,0.9,0.05,0.068
10,2,2,0.2,1,0.05,1
10,2,2,0.3,0.5,0.05,0.002
10,2,2,0.3,0.7,0.05,0.253
10,2,2,0.3,0.9,0.05,0.281
10,2,2,0.3,1,0.05,1
10,2,2,0.4,0.5,0.05,0.072
10,2,2,0.4,0.7,0.05,0.059
10,2,2,0.4,0.9,0.05,0.445
10,2,2,0.4,1,0.05,1
10,2,2,0.5,0.5,0.05,0.017
10,2,2,0.5,0.7,0.05,0.203
10,2,2,0.5,0.9,0.05,0.626
10,2,2,0.5,1,0.05,1
10,2,2,0.6,0.5,0.05,0.087
10,2,2,0.6,0.7,0.05,0.393
10,2,2,0.6,0.9,0.05,0.749
10,2,2,0.6,1,0.05,1
10,2,2,0.7,0.5,0.05,0.029
10,2,2,0.7,0.7,0.05,0.217
10,2,2,0.7,0.9,0.05,0.834
10,2,2,0.7,1,0.05,1
10,2,2,0.8,0.5,0.05,0.122
10,2,2,0.8,0.7,0.05,0.442
10,2,2,0.8,0.9,0.05,0.934
10,2,2,0.8,1,0.05,1
10,3,1,0.2,0.5,0.05,0.592
10,3,1,0.2,0.7,0.05,0.619
10,3,1,0.2,0.9,0.05,0.602
10,3,1,0.2,1,0.05,1
10,3,1,0.3,0.5,0.05,0.368
10,3,1,0.3,0.7,0.05,0.838
10,3,1,0.3,0.9,0.05,0.849
10,3,1,0.3,1,0.05,1
10,3,1,0.4,0.5,0.05,0.736
10,3,1,0.4,0.7,0.05,0.732
10,3,1,0.4,0.9,0.05,0.944
10,3,1,0.4,1,0.05,1
10,3,1,0.5,0.5,0.05,0.612
10,3,1,0.5,0.7,0.05,0.892
10,3,1,0.5,0.9,0.05,0.98
10,3,1,0.5,1,0.05,1
10,3,1,0.6,0.5,0.05,0.854
10,3,1,0.6,0.7,0.05,0.966
10,3,1,0.6,0.9,0.05,0.999
10,3,1,0.6,1,0.05,1
10,3,1,0.7,0.5,0.05,0.822
10,3,1,0.7,0.7,0.05,0.951
10,3,1,0.7,0.9,0.05,1
10,3,1,0.7,1,0.05,1
10,3,1,0.8,0.5,0.05,0.943
10,3,1,0.8,0.7,0.05,0.989
10,3,1,0.8,0.9,0.05,1
10,3,1,0.8,1,0.05,1
10,3,2,0.2,0.5,0.05,0.124
10,3,2,0.2,0.7,0.05,0.126
10,3,2,0.2,0.9,0.05,0.138
10,3,2,0.2,1,0.05,1
10,3,2,0.3,0.5,0.05,0.014
10,3,2,0.3,0.7,0.05,0.47
10,3,2,0.3,0.9,0.05,0.435
10,3,2,0.3,1,0.05,1
10,3,2,0.4,0.5,0.05,0.196
10,3,2,0.4,0.7,0.05,0.199
10,3,2,0.4,0.9,0.05,0.685
10,3,2,0.4,1,0.05,1
10,3,2,0.5,0.5,0.05,0.088
10,3,2,0.5,0.7,0.05,0.525
10,3,2,0.5,0.9,0.05,0.86
10,3,2,0.5,1,0.05,1
10,3,2,0.6,0.5,0.05,0.364
10,3,2,0.6,0.7,0.05,0.757
10,3,2,0.6,0.9,0.05,0.933
10,3,2,0.6,1,0.05,1
10,3,2,0.7,0.5,0.05,0.227
10,3,2,0.7,0.7,0.05,0.647
10,3,2,0.7,0.9,0.05,0.977
10,3,2,0.7,1,0.05,1
10,3,2,0.8,0.5,0.05,0.54
10,3,2,0.8,0.7,0.05,0.834
10,3,2,0.8,0.9,0.05,0.994
10,3,2,0.8,1,0.05,1
10,3,3,0.2,0.5,0.05,0
10,3,3,0.2,0.7,0.05,0
10,3,3,0.2,0.9,0.05,0
10,3,3,0.2,1,0.05,1
10,3,3,0.3,0.5,0.05,0
10,3,3,0.3,0.7,0.05,0.12
10,3,3,0.3,0.9,0.05,0.131
10,3,3,0.3,1,0.05,1
10,3,3,0.4,0.5,0.05,0.01
10,3,3,0.4,0.7,0.05,0.008
10,3,3,0.4,0.9,0.05,0.36
10,3,3,0.4,1,0.05,1
10,3,3,0.5,0.5,0.05,0.002
10,3,3,0.5,0.7,0.05,0.118
10,3,3,0.5,0.9,0.05,0.559
10,3,3,0.5,1,0.05,1
10,3,3,0.6,0.5,0.05,0.034
10,3,3,0.6,0.7,0.05,0.319
10,3,3,0.6,0.9,0.05,0.756
10,3,3,0.6,1,0.05,1
10,3,3,0.7,0.5,0.05,0.012
10,3,3,0.7,0.7,0.05,0.183
10,3,3,0.7,0.9,0.05,0.854
10,3,3,0.7,1,0.05,1
10,3,3,0.8,0.5,0.05,0.101
10,3,3,0.8,0.7,0.05,0.403
10,3,3,0.8,0.9,0.05,0.937
10,3,3,0.8,1,0.05,1
10,4,1,0.2,0.5,0.05,0.735
10,4,1,0.2,0.7,0.05,0.71
10,4,1,0.2,0.9,0.05,0.745
10,4,1,0.2,1,0.05,1
10,4,1,0.3,0.5,0.05,0.542
10,4,1,0.3,0.7,0.05,0.941
10,4,1,0.3,0.9,0.05,0.934
10,4,1,0.3,1,0.05,1
10,4,1,0.4,0.5,0.05,0.872
10,4,1,0.4,0.7,0.05,0.878
10,4,1,0.4,0.9,0.05,0.986
10,4,1,0.4,1,0.05,1
10,4,1,0.5,0.5,0.05,0.817
10,4,1,0.5,0.7,0.05,0.972
10,4,1,0.5,0.9,0.05,0.997
10,4,1,0.5,1,0.05,1
10,4,1,0.6,0.5,0.05,0.948
10,4,1,0.6,0.7,0.05,0.994
10,4,1,0.6,0.9,0.05,0.999
10,4,1,0.6,1,0.05,1
10,4,1,0.7,0.5,0.05,0.944
10,4,1,0.7,0.7,0.05,0.998
10,4,1,0.7,0.9,0.05,1
10,4,1,0.7,1,0.05,1
10,4,1,0.8,0.5,0.05,0.988
10,4,1,0.8,0.7,0.05,0.999
10,4,1,0.8,0.9,0.05,1
10,4,1,0.8,1,0.05,1
10,4,2,0.2,0.5,0.05,0.231
10,4,2,0.2,0.7,0.05,0.225
10,4,2,0.2,0.9,0.05,0.243
10,4,2,0.2,1,0.05,1
10,4,2,0.3,0.5,0.05,0.042
10,4,2,0.3,0.7,0.05,0.645
10,4,2,0.3,0.9,0.05,0.636
10,4,2,0.3,1,0.05,1
10,4,2,0.4,0.5,0.05,0.408
10,4,2,0.4,0.7,0.05,0.421
10,4,2,0.4,0.9,0.05,0.877
10,4,2,0.4,1,0.05,1
10,4,2,0.5,0.5,0.05,0.253
10,4,2,0.5,0.7,0.05,0.762
10,4,2,0.5,0.9,0.05,0.964
10,4,2,0.5,1,0.05,1
10,4,2,0.6,0.5,0.05,0.652
10,4,2,0.6,0.7,0.05,0.925
10,4,2,0.6,0.9,0.05,0.994
10,4,2,0.6,1,0.05,1
10,4,2,0.7,0.5,0.05,0.566
10,4,2,0.7,0.7,0.05,0.886
10,4,2,0.7,0.9,0.05,0.998
10,4,2,0.7,1,0.05,1
10,4,2,0.8,0.5,0.05,0.853
10,4,2,0.8,0.7,0.05,0.976
10,4,2,0.8,0.9,0.05,1
10,4,2,0.8,1,0.05,1
10,4,3,0.2,0.5,0.05,0
10,4,3,0.2,0.7,0.05,0
10,4,3,0.2,0.9,0.05,0
10,4,3,0.2,1,0.05,1
10,4,3,0.3,0.5,0.05,0
10,4,3,0.3,0.7,0.05,0.273
10,4,3,0.3,0.9,0.05,0.234
10,4,3,0.3,1,0.05,1
10,4,3,0.4,0.5,0.05,0.05
10,4,3,0.4,0.7,0.05,0.059
10,4,3,0.4,0.9,0.05,0.574
10,4,3,0.4,1,0.05,1
10,4,3,0.5,0.5,0.05,0.014
10,4,3,0.5,0.7,0.05,0.323
10,4,3,0.5,0.9,0.05,0.805
10,4,3,0.5,1,0.05,1
10,4,3,0.6,0.5,0.05,0.183
10,4,3,0.6,0.7,0.05,0.681
10,4,3,0.6,0.9,0.05,0.929
10,4,3,0.6,1,0.05,1
10,4,3,0.7,0.5,0.05,0.114
10,4,3,0.7,0.7,0.05,0.535
10,4,3,0.7,0.9,0.05,0.976
10,4,3,0.7,1,0.05,1
10,4,3,0.8,0.5,0.05,0.448
10,4,3,0.8,0.7,0.05,0.823
10,4,3,0.8,0.9,0.05,0.997
10,4,3,0.8,1,0.05,1
10,4,4,0.2,0.5,0.05,0
10,4,4,0.2,0.7,0.05,0
10,4,4,0.2,0.9,0.05,0
10,4,4,0.2,1,0.05,1
10,4,4,0.3,0.5,0.05,0
10,4,4,0.3,0.7,0.05,0.049
10,4,4,0.3,0.9,0.05,0.047
10,4,4,0.3,1,0.05,1
10,4,4,0.4,0.5,0.05,0.002
10,4,4,0.4,0.7,0.05,0
10,4,4,0.4,0.9,0.05,0.246
10,4,4,0.4,1,0.05,1
10,4,4,0.5,0.5,0.05,0.001
10,4,4,0.5,0.7,0.05,0.07
10,4,4,0.5,0.9,0.05,0.556
10,4,4,0.5,1,0.05,1
10,4,4,0.6,0.5,0.05,0.006
10,4,4,0.6,0.7,0.05,0.275
10,4,4,0.6,0.9,0.05,0.749
10,4,4,0.6,1,0.05,1
10,4,4,0.7,0.5,0.05,0.001
10,4,4,0.7,0.7,0.05,0.126
10,4,4,0.7,0.9,0.05,0.899
10,4,4,0.7,1,0.05,1
10,4,4,0.8,0.5,0.05,0.07
10,4,4,0.8,0.7,0.05,0.464
10,4,4,0.8,0.9,0.05,0.975
10,4,4,0.8,1,0.05,1
10,5,1,0.2,0.5,0.05,0.831
10,5,1,0.2,0.7,0.05,0.836
10,5,1,0.2,0.9,0.05,0.827
10,5,1,0.2,1,0.05,1
10,5,1,0.3,0.5,0.05,0.686
10,5,1,0.3,0.7,0.05,0.964
10,5,1,0.3,0.9,0.05,0.975
10,5,1,0.3,1,0.05,1
10,5,1,0.4,0.5,0.05,0.954
10,5,1,0.4,0.7,0.05,0.951
10,5,1,0.4,0.9,0.05,0.997
10,5,1,0.4,1,0.05,1
10,5,1,0.5,0.5,0.05,0.913
10,5,1,0.5,0.7,0.05,0.991
10,5,1,0.5,0.9,0.05,1
10,5,1,0.5,1,0.05,1
10,5,1,0.6,0.5,0.05,0.996
10,5,1,0.6,0.7,0.05,1
10,5,1,0.6,0.9,0.05,1
10,5,1,0.6,1,0.05,1
10,5,1,0.7,0.5,0.05,0.988
10,5,1,0.7,0.7,0.05,0.999
10,5,1,0.7,0.9,0.05,1
10,5,1,0.7,1,0.05,1
10,5,1,0.8,0.5,0.05,0.999
10,5,1,0.8,0.7,0.05,1
10,5,1,0.8,0.9,0.05,1
10,5,1,0.8,1,0.05,1
10,5,2,0.2,0.5,0.05,0.331
10,5,2,0.2,0.7,0.05,0.348
10,5,2,0.2,0.9,0.05,0.348
10,5,2,0.2,1,0.05,1
10,5,2,0.3,0.5,0.05,0.103
10,5,2,0.3,0.7,0.05,0.79
10,5,2,0.3,0.9,0.05,0.804
10,5,2,0.3,1,0.05,1
10,5,2,0.4,0.5,0.05,0.654
10,5,2,0.4,0.7,0.05,0.658
10,5,2,0.4,0.9,0.05,0.953
10,5,2,0.4,1,0.05,1
10,5,2,0.5,0.5,0.05,0.51
10,5,2,0.5,0.7,0.05,0.91
10,5,2,0.5,0.9,0.05,0.995
10,5,2,0.5,1,0.05,1
10,5,2,0.6,0.5,0.05,0.894
10,5,2,0.6,0.7,0.05,0.981
10,5,2,0.6,0.9,0.05,1
10,5,2,0.6,1,0.05,1
10,5,2,0.7,0.5,0.05,0.848
10,5,2,0.7,0.7,0.05,0.985
10,5,2,0.7,0.9,0.05,1
10,5,2,0.7,1,0.05,1
10,5,2,0.8,0.5,0.05,0.976
10,5,2,0.8,0.7,0.05,0.999
10,5,2,0.8,0.9,0.05,1
10,5,2,0.8,1,0.05,1
10,5,3,0.2,0.5,0.05,0
10,5,3,0.2,0.7,0.05,0
10,5,3,0.2,0.9,0.05,0
10,5,3,0.2,1,0.05,1
10,5,3,0.3,0.5,0.05,0
10,5,3,0.3,0.7,0.05,0.422
10,5,3,0.3,0.9,0.05,0.424
10,5,3,0.3,1,0.05,1
10,5,3,0.4,0.5,0.05,0.181
10,5,3,0.4,0.7,0.05,0.167
10,5,3,0.4,0.9,0.05,0.805
10,5,3,0.4,1,0.05,1
10,5,3,0.5,0.5,0.05,0.064
10,5,3,0.5,0.7,0.05,0.609
10,5,3,0.5,0.9,0.05,0.949
10,5,3,0.5,1,0.05,1
10,5,3,0.6,0.5,0.05,0.473
10,5,3,0.6,0.7,0.05,0.897
10,5,3,0.6,0.9,0.05,0.994
10,5,3,0.6,1,0.05,1
10,5,3,0.7,0.5,0.05,0.409
10,5,3,0.7,0.7,0.05,0.87
10,5,3,0.7,0.9,0.05,0.998
10,5,3,0.7,1,0.05,1
10,5,3,0.8,0.5,0.05,0.764
10,5,3,0.8,0.7,0.05,0.963
10,5,3,0.8,0.9,0.05,1
10,5,3,0.8,1,0.05,1
10,5,4,0.2,0.5,0.05,0
10,5,4,0.2,0.7,0.05,0
10,5,4,0.2,0.9,0.05,0
10,5,4,0.2,1,0.05,1
10,5,4,0.3,0.5,0.05,0
10,5,4,0.3,0.7,0.05,0.103
10,5,4,0.3,0.9,0.05,0.091
10,5,4,0.3,1,0.05,1
10,5,4,0.4,0.5,0.05,0.007
10,5,4,0.4,0.7,0.05,0.008
10,5,4,0.4,0.9,0.05,0.499
10,5,4,0.4,1,0.05,1
10,5,4,0.5,0.5,0.05,0
10,5,4,0.5,0.7,0.05,0.216
10,5,4,0.5,0.9,0.05,0.786
10,5,4,0.5,1,0.05,1
10,5,4,0.6,0.5,0.05,0.101
10,5,4,0.6,0.7,0.05,0.621
10,5,4,0.6,0.9,0.05,0.937
10,5,4,0.6,1,0.05,1
10,5,4,0.7,0.5,0.05,0.047
10,5,4,0.7,0.7,0.05,0.462
10,5,4,0.7,0.9,0.05,0.992
10,5,4,0.7,1,0.05,1
10,5,4,0.8,0.5,0.05,0.364
10,5,4,0.8,0.7,0.05,0.824
10,5,4,0.8,0.9,0.05,1
10,5,4,0.8,1,0.05,1
10,5,5,0.2,0.5,0.05,0
10,5,5,0.2,0.7,0.05,0
10,5,5,0.2,0.9,0.05,0
10,5,5,0.2,1,0.05,1
10,5,5,0.3,0.5,0.05,0
10,5,5,0.3,0.7,0.05,0
10,5,5,0.3,0.9,0.05,0
10,5,5,0.3,1,0.05,1
10,5,5,0.4,0.5,0.05,0
10,5,5,0.4,0.7,0.05,0
