nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,2,1,0.2,0.9,0.05,0.464
10,2,1,0.2,0.925,0.05,0.467
10,2,1,0.2,0.95,0.05,0.47
10,2,1,0.2,0.975,0.05,0.454
10,2,1,0.2,1,0.05,1
10,2,1,0.3,0.9,0.05,0.718
10,2,1,0.3,0.925,0.05,0.719
10,2,1,0.3,0.95,0.05,0.719
10,2,1,0.3,0.975,0.05,0.693
10,2,1,0.3,1,0.05,1
10,2,1,0.4,0.9,0.05,0.846
10,2,1,0.4,0.925,0.05,0.84
10,2,1,0.4,0.95,0.05,0.851
10,2,1,0.4,0.975,0.05,0.817
10,2,1,0.4,1,0.05,1
10,2,1,0.5,0.9,0.05,0.925
10,2,1,0.5,0.925,0.05,0.911
10,2,1,0.5,0.95,0.05,0.927
10,2,1,0.5,0.975,0.05,0.909
10,2,1,0.5,1,0.05,1
10,2,1,0.6,0.9,0.05,0.957
10,2,1,0.6,0.925,0.05,0.957
10,2,1,0.6,0.95,0.05,0.962
10,2,1,0.6,0.975,0.05,0.962
10,2,1,0.6,1,0.05,1
10,2,1,0.7,0.9,0.05,0.987
10,2,1,0.7,0.925,0.05,0.994
10,2,1,0.7,0.95,0.05,0.979
10,2,1,0.7,0.975,0.05,0.99
10,2,1,0.7,1,0.05,1
10,2,1,0.8,0.9,0.05,0.997
10,2,1,0.8,0.925,0.05,0.999
10,2,1,0.8,0.95,0.05,0.997
10,2,1,0.8,0.975,0.05,0.994
10,2,1,0.8,1,0.05,1
10,2,2,0.2,0.9,0.05,0.069
10,2,2,0.2,0.925,0.05,0.076
10,2,2,0.2,0.95,0.05,0.065
10,2,2,0.2,0.975,0.05,0.077
10,2,2,0.2,1,0.05,1
10,2,2,0.3,0.9,0.05,0.256
10,2,2,0.3,0.925,0.05,0.278
10,2,2,0.3,0.95,0.05,0.285
10,2,2,0.3,0.975,0.05,0.258
10,2,2,0.3,1,0.05,1
10,2,2,0.4,0.9,0.05,0.429
10,2,2,0.4,0.925,0.05,0.45
10,2,2,0.4,0.95,0.05,0.441
10,2,2,0.4,0.975,0.05,0.441
10,2,2,0.4,1,0.05,1
10,2,2,0.5,0.9,0.05,0.593
10,2,2,0.5,0.925,0.05,0.611
10,2,2,0.5,0.95,0.05,0.612
10,2,2,0.5,0.975,0.05,0.63
10,2,2,0.5,1,0.05,1
10,2,2,0.6,0.9,0.05,0.76
10,2,2,0.6,0.925,0.05,0.745
10,2,2,0.6,0.95,0.05,0.764
10,2,2,0.6,0.975,0.05,0.746
10,2,2,0.6,1,0.05,1
10,2,2,0.7,0.9,0.05,0.851
10,2,2,0.7,0.925,0.05,0.837
10,2,2,0.7,0.95,0.05,0.843
10,2,2,0.7,0.975,0.05,0.851
10,2,2,0.7,1,0.05,1
10,2,2,0.8,0.9,0.05,0.91
10,2,2,0.8,0.925,0.05,0.909
10,2,2,0.8,0.95,0.05,0.909
10,2,2,0.8,0.975,0.05,0.926
10,2,2,0.8,1,0.05,1
10,3,1,0.2,0.9,0.05,0.607
10,3,1,0.2,0.925,0.05,0.607
10,3,1,0.2,0.95,0.05,0.601
10,3,1,0.2,0.975,0.05,0.618
10,3,1,0.2,1,0.05,1
10,3,1,0.3,0.9,0.05,0.847
10,3,1,0.3,0.925,0.05,0.842
10,3,1,0.3,0.95,0.05,0.869
10,3,1,0.3,0.975,0.05,0.835
10,3,1,0.3,1,0.05,1
10,3,1,0.4,0.9,0.05,0.949
10,3,1,0.4,0.925,0.05,0.958
10,3,1,0.4,0.95,0.05,0.95
10,3,1,0.4,0.975,0.05,0.952
10,3,1,0.4,1,0.05,1
10,3,1,0.5,0.9,0.05,0.977
10,3,1,0.5,0.925,0.05,0.975
10,3,1,0.5,0.95,0.05,0.981
10,3,1,0.5,0.975,0.05,0.989
10,3,1,0.5,1,0.05,1
10,3,1,0.6,0.9,0.05,0.994
10,3,1,0.6,0.925,0.05,0.994
10,3,1,0.6,0.95,0.05,0.994
10,3,1,0.6,0.975,0.05,0.992
10,3,1,0.6,1,0.05,1
10,3,1,0.7,0.9,0.05,0.999
10,3,1,0.7,0.925,0.05,0.998
10,3,1,0.7,0.95,0.05,1
10,3,1,0.7,0.975,0.05,0.999
10,3,1,0.7,1,0.05,1
10,3,1,0.8,0.9,0.05,1
10,3,1,0.8,0.925,0.05,1
10,3,1,0.8,0.95,0.05,1
10,3,1,0.8,0.975,0.05,1
10,3,1,0.8,1,0.05,1
10,3,2,0.2,0.9,0.05,0.137
10,3,2,0.2,0.925,0.05,0.121
10,3,2,0.2,0.95,0.05,0.131
10,3,2,0.2,0.975,0.05,0.153
10,3,2,0.2,1,0.05,1
10,3,2,0.3,0.9,0.05,0.445
10,3,2,0.3,0.925,0.05,0.468
10,3,2,0.3,0.95,0.05,0.461
10,3,2,0.3,0.975,0.05,0.456
10,3,2,0.3,1,0.05,1
10,3,2,0.4,0.9,0.05,0.694
10,3,2,0.4,0.925,0.05,0.679
10,3,2,0.4,0.95,0.05,0.723
10,3,2,0.4,0.975,0.05,0.674
10,3,2,0.4,1,0.05,1
10,3,2,0.5,0.9,0.05,0.846
10,3,2,0.5,0.925,0.05,0.834
10,3,2,0.5,0.95,0.05,0.842
10,3,2,0.5,0.975,0.05,0.853
10,3,2,0.5,1,0.05,1
10,3,2,0.6,0.9,0.05,0.933
10,3,2,0.6,0.925,0.05,0.924
10,3,2,0.6,0.95,0.05,0.937
10,3,2,0.6,0.975,0.05,0.938
10,3,2,0.6,1,0.05,1
10,3,2,0.7,0.9,0.05,0.977
10,3,2,0.7,0.925,0.05,0.971
10,3,2,0.7,0.95,0.05,0.981
10,3,2,0.7,0.975,0.05,0.968
10,3,2,0.7,1,0.05,1
10,3,2,0.8,0.9,0.05,0.995
10,3,2,0.8,0.925,0.05,0.996
10,3,2,0.8,0.95,0.05,0.995
10,3,2,0.8,0.975,0.05,0.994
10,3,2,0.8,1,0.05,1
10,3,3,0.2,0.9,0.05,0
10,3,3,0.2,0.925,0.05,0
10,3,3,0.2,0.95,0.05,0
10,3,3,0.2,0.975,0.05,0
10,3,3,0.2,1,0.05,1
10,3,3,0.3,0.9,0.05,0.113
10,3,3,0.3,0.925,0.05,0.116
10,3,3,0.3,0.95,0.05,0.136
10,3,3,0.3,0.975,0.05,0.12
10,3,3,0.3,1,0.05,1
10,3,3,0.4,0.9,0.05,0.343
10,3,3,0.4,0.925,0.05,0.374
10,3,3,0.4,0.95,0.05,0.36
